Route_ID,Route_Points
M982,TOPPA;ROKAN;ERLOT;ROBEM;RITSI;SAB;FINDO
N6,PILIP;TIGGY;TELTU
N12,DOLUR;MABUG;IDOKI;TESDO;LULOX
N14,NIBDA;VOUGA;KENET;UGNUS;OKTAD;DOBEM;TOPRO;MEDOG;FOXLA;ABAPO;PEMOB;LANPI;BAKUR
N16,GIBSO;BEGTO;AVANT;GWC;OTSID;BIG;BPK;BKY
N17,RIGDI;SIDDI;ORVUX;DAWLY;ELRIP;OTMET;SOKDU;NEDUL;TELTU
N18,LND;ELRAG;GISOK;OSGIL;PEMOB
N19,GAPLI;UNPUP;SOPTU;JOZMA;KOXOD;ADKIK;NULGU;SAM
N20,KUNAV;ELDAX;NOTGI;EVEXU
N21,GAPLI;MERLY
N24,PEMOB;SLANY
N26,MANIG;BHD;DEVOM;DAGKO;ZEDDO;STU
N28,GATRA;BANBA
N30,BANBA;PEMOB
N34,NEVRI;ABSUN;BEL
N38,DOLUR;LESLU
N40,DOLUR;DOKEK;EVRIN
N42,RETSI;MONTY
N44,GIGUL;ODMOS;NOBDO;DOKEN
N57,DEVAL;SANDY;DET;LAM;WELIN;SAPCO;TNT;TIPIL;DENBY;POL;BAMEP;SETEL;OLPOP;IPNOX;DCS
N58,AMPOP;GATRA
N63,LELNA;OLGUD;SAM;VOUGA;IMVUR
N66,AVRAL;BADGA;DOKEN;GOMOT
N80,NAKID;ARKIL
N83,NAKID;LEDGO
N84,NAKID;LULOX
N90,SKESO;NOTRO;EXJET;LAMAT
N91,NEZZA;PERUP;FIGZI
N92,EXMOR;ITJON;OKTAD;DUCNO;LUXTO;UMLUX
N93,LUXTO;PEPUL;ADMEX
N96,ROKAN;NEXUS
N97,ROKAN;NATEB;TALLA;TLA;MAC
N110,DOLAS;ABTOS;ODNEK;USEKA;ERKIT;BAVDO;UNTAL;AGPED;LAMMA
N160,LIZAD;NAKID;LND;INSUN;BOGMI;LEDGO
N491,TAKAS;ALUTA;MOSIS
N502,PIKOD;SUPAP;PEMAK;PHILI;RATKA
N512,ADRUD;LARLA
N513,ELRIP;FONZU;DIDEL
N514,LESLU;PAVLO;ODADA;DIDEL;BAZJO;ADKIK;OSNUG;EXARO;EVTES;GASGU
N521,XAVAP;LARLA;RATKA
N546,SALCO;ERFAX;NEXXU;STU;BAKUR
N552,RUBEX;MAC
N562,TRN;HERON;MAC;DONIB;MIMKU
N601,DET;BAKER;BPK;POTON;BEDFO;EBOTO;PIPIN;LESTA;EMBOR;XAPOS;BOLBI;ULSAX;POL;NELSA;RIBEL;ERGAB;SHAPP;ABEVI;INPIP;UTOGU;INREV;ESKDO;IPDOR;TALLA;TLA;GRICE
N610,LONAM;NATEB;LAMMA;FINDO;LAGAV;RUGID;STN;BILLY;BARKU;RATSU
N621,LELNA;MARUK;KAPEX;SAM;EVTES;GOGSI
N859,SITET;DRAKE;INKEK;EVEXU;GWC;VAPID;CPT;DIGUT;KIDLI;HON;UTUXA;SANBA
N862,SKESO;SKERY;BHD;KOXOD;IPZOL;LAMAT;ITJON;ERNOK;PERUP;DOBEM;RILES;AMRAL;RETSI;NENVO;ROBVA;KARMO;RISLA;NOKIN;WAL
N866,LORKU;RUBMI;ROKSI;BILNI;SAM;GASGU;DIGSU;BANEM;LEDBO;BUKUT;KUBAX;TOLSA;AKOKO;BINBO;LARDI;TIPAN;UPGAS
N867,GARMI;VASUX;AVANT
P1,GODOS;BINBO;ROKAN;TINDI;ROLUM;GIGUL;RODSI
P2,NIGIT;BEDEK;HOFIK;OKESI;NUMPO;STU;BANBA
P4,EVRIN;DIKAS;OKTAD
P5,DIGSU;UMBAG;ELNAB;CUTEL;GIBSU;LAMRO;NIVUN
P6,LESTA;RODOL;NELBO;IPSET;BEL
P7,LOGAN;IDESI;SONOG;BARMI;BUKUT
P13,ROLUM;ASKAM
P15,NATEB;DIGBI;ERLOT;GIVEM;NAVEL;CUTEL;REKNA;VAXIT
P16,NOKIN;ASMIM;CROFT;RIBEL;GASKO
P17,NITON;NOKIN;KUXEM;BARTN;POL;IPSIR;OBOXA
P25,LAPRA;MIPVO;DITOB;MEGEL;BARMI
P44,BRAIN;DAGGA;CLN;RATLO;PIXAM;SOMVA
P49,XAMAN;IDESI;LAPRA
P58,PELET;ODMOS;RODSI;GIVEM;SUSIS;MADAD;FINDO
P69,LULOX;UNPUP;DAWLY
P70,DAWLY;SOPTU;ARKIL
P71,DAWLY;LESLU
P72,DAWLY;ODADA;LEDGO
P73,DAWLY;MOPAT
P83,BOLRO;KATHY;ELDER;SAM
P86,MABUG;OSMAP;ORVUX;KOXOD
P87,BOLRO;ROXOG
P88,ODREP;GOKTU;VASUX
P137,REDFA;SIVDA
P144,MATCH;DIGSU;TUZLA;LATMU;LARGA;SOPTO
P155,SOMVA;ABEDA;BANEM;UMBAG;SIVDA;BANTO;EBOTO;UNGAP;HON;FACTU;MORAG
P166,DTY;WELIN;BANTO
P620,NIMAT;NUMPI;NELBO;BLACA
Q3,LAM;OCK;HEMEL;MOGLI
Q4,EMBOR;TNT;LISTO;VABKA;WAL;NOMSU;GIGTO
Q36,NUGRA;EPOXI;NOSLO;ALAVA;ABGEP;RULAV;ENDEQ
Q37,MALUD;DONAX;BAVUD;BAKOX;BOFUM
Q38,NUGRA;VOLFI;MALUD;GIGTO;SOSIM;MAKUX;VAKPO;PEPOD
Q39,NOMSU;DANDI;INKOB;TIMIS;ETIGA;BABGU;RINGA
Q41,ORTAC;THRED;NEDUL;SAM;PEPIS;TABEN;NORRY;COWLY;SILVA
Q60,KOPUL;UGBET;KILFA;UGNUS;LANON;MORAG
Q63,SUMUM;BLIXY;ARREK;ERING;KOPUL;IDITU;IPKUS;CPT;KENET;MIMBI;SIREN;MALBY;WOTAN;BADIM;ALVIN;ERNOK;BCN;UGBUD;INRUB;AMMAN;STU;LANPI;TIBGA;VATRY
Q70,VABIK;MOKBU;ITVIP;DET;BIG;BENSU;COWLY
Q75,BUZAD;UTAVA;BKY
Q295,CPT;BPK;TOTRI;MATCH;BRAIN;PAAVO;SOMVA
T7,ADRUD;PEMAK;AMPOP;MABUG;LND;AMHAG;ASRAX;IDOVO;NITON;KARMO
T55,CUTEL;ITSUX;TINAC
T71,VAPID;TEVSI;COWLY
T256,DCS;RIPNO;OSMEG;ORVUL;NORBO
T418,UMLAT;WOBUN;WELIN
T420,ALESO;ROTNO;ETVAX;TIGER;BIG;ULTIB;HEMEL;BUZAD;OLNEY;WELIN;AKUPA;TIMPO;ELVOS;TNT
T421,KUNAV;NIVKO;BISRU;BIG
UL8,STAFA;NANTI;UMKIL;VABKA;ASNIP;TADAL;BILVO
UL9,KONAN;DVR;UMTUM;EMKAD;LAVRI;DIKVU;BIG;GOXUL;LINDY;NORRY;CPT;KENET;GAVGO;DEZZU;DIKAS;LUFTU;STU;SLANY
UL28,TNT;RODOL;MCT;ASNIP;AGLIL;PENIL;DANDI;LELDO;SOSIM
UL70,DESIG;KOLID;TADAL;GUNTU;PENIL;BABRA;GIGTO;UNDUX;SOPAX;RAMOX;OGTUG;BAGSO
UL612,XAMAB;HAWKE;BENBO;BOGNA;MID;WOD;COWLY;EMKUK;IXURA;HON;LISTO;LOVEL;BARTN;CROFT;CALDA;OBUNI;VAMEB;LAKEY;DCS;BEBNI;NAVSO;LUSIV;FENIK;GOW;ORSUM;STN;MODGO;BESGA;MATIK
UL619,VALBO;AVRAL;CUTEL;RIVOT;DENOG;AKIVO
UL975,LIFFY;IDEXA;GINIS;NATKO;LYNAS;ROLEX;MALUD;WAL;ASMIM;BARTN;SONEX;DENBY;DESIG;UNIGO;UPTON;ARPUB;GOLES;LIBSO;ROVNI;ODMOS;ROPAL;INPUT;LESRA
UM8,SUBIP;ELDAX;WAFFU
UM30,SALCO;NOTRO
UM65,RODOL;TENSO
UM82,TIPTA;ROBEM;RIVOT;NIVUN
UM86,FORTY;SOXON;AKIVO
UM89,TRN;SAB;RIVOT;ALOTI
UM125,ORVIK;SUM
UM184,KOTEM;PILIP;NELKO;AVANT;HEMEL
UM185,LUGIS;ADLOG;DESNA;TELTU;MID;MODMI;OCK;KOBBI;BPK;DIGSU;ADGEG;TIPAN;ATNAK
UM189,DRAKE;HAWKE;WAFFU;LYD
UM605,XIDIL;HARDY;WAFFU;SFD;WOD;BENSU;SILVA;FINMA;DTY
UM733,SUBIP;BANVA;UNDUG;MAY
UM868,TNT;TIPIL;EVSON;ADELU
UM869,SURAT;GOREV
UN6,PILIP;TIGGY;TELTU
UN22,SALCO;BABAX
UN32,ANNET;NOTRO
UN34,TALIG;MABUG;INSUN;GATRA;EVRIN
UN57,SANDY;LAM;WELIN;SAPCO;TNT;POL;BAMEP;SETEL;OLPOP;IPNOX;DCS;MAC
UN537,MAC;GOW
UN562,MAC;SAB
UN581,VAXIT;ELSAN;GIBSU;ODMIX;ADN;VADNO
UN583,STN;PIPEM;FORTY
UN584,BAMRA;SUM
UN590,HALIF;APPLE;ABEVI;GOW
UN591,RIVOT;ADN;STN;NINEX
UN593,NINEX;BAMRA
UN601,SANDY;DET;BPK;POTON;BEDFO;EBOTO;PIPIN;LESTA;EMBOR;XAPOS;BOLBI;ULSAX;POL;NELSA;RIBEL;ERGAB;SHAPP;ABEVI;INPIP;UTOGU;INREV;ESKDO;IPDOR;TALLA;TLA;ERSON;NEVIS;STN;AKIVO
UN603,BEREP;SUM;KESEG;BILLY;AKIVO
UN614,STN;ADASI;DOSUN
UN859,SITET;GWC;VAPID;CPT;DIGUT;KIDLI;HON;UTUXA;SANBA
UN864,SALCO;BHD;DAWLY;TINAN;TIVER;ATWEL;MULIT;EXMOR;NEZZA;NUMPO;BCN;DIKAS;NAVOV;GOGIG;TOPRO;TALGA;UMOLO;NITON;OKTEM;NILGI;MONTY;GODPA;REXAM;IVLOD;WAL;GUNTU;BILVO;SUBUK;DCS;ASRUS;UNURO;TALLA;TLA
UN867,GARMI;VASUX;AVANT
UP6,MOGLI;LESTA;TUMTI;RODOL;KOLID;BILVO;TUPEM;REMSI
UP16,ANNET;BABAX;DEVOM;KESUP;UNBIG;IDOVO;BERUL;MONTY;NOKIN;ASMIM;CROFT;RIBEL;BEGAM;BINTI;RAPUM;NATEB;ROBEM;SUSIS;BEVAM;CUTEL
UP17,NITON;ANJAK;NOKIN;KUXEM;BARTN;POL;IPSIR;OBOXA;ARSAT;TIPTA;DIGBI
UP18,POL;IDKOL;ABKAT;GASKO;UVAVU;TILNI;GIRLI;UNTAL;NATEB;ELMUD;ALASO;RITSI;MADAD;NEXUS;BALID;UPGET;OKPAL;RATPU;ADN
UP24,NEVIS;ORSUM;KUVOX;NINEX
UP59,ASKAM;NOBDO;NAVEL;BEVAM;GOMOT;NEXUS;RUGID;NINEX;BALIX
UP60,VAXIT;ARTEX;LAMRO;FORTY;BAMRA;AKIVO;ATSIX
UP61,BAMRA;KESEG;DOSUN;MODGO;DEVBI;RATSU
UP83,BOLRO;KATHY;ELDER;SAM
UP87,BOLRO;ROXOG
UP88,ODREP;GOKTU;VASUX
UP600,TRN;GOW;FINDO;PERTH;PTH;ADN;LESNI;BUDON;OVDAN;FORTY;KLONN
UP612,PEPIN;SUM;BESGA;RATSU
UP620,CAMBO;SUPAP;TALIG;OSMAP;LND;PAVLO;DOKEK;BANBA
UQ4,TNT;LISTO;VABKA;WAL;NOMSU;GIGTO
UT29,LAMIX;VEGUS;LIBSO
UT71,VAPID;TEVSI;COWLY
UT256,DCS;RIPNO;OSMEG;ORVUL;NORBO
UY47,DRAKE;BENBO;SFD
UY53,NUGRA;NANTI;MOGTA;EKLAD;WAL
UY124,LISTO;MOGTA;AMPIT;DOLOP;BAGIT;LUTIP;LOMVO;DEXEN
UY250,DTY;AKUPA;LESTA;MAMUL;UPTON;BATLI;RIMTO;OBOXA;GASKO
UZ105,FORTY;RIGVU
UZ107,ADN;BEREP
Y4,TEBRA;PIBUX;ARREK;ODROB;SONOG
Y6,SUMUM;TOSVA;IDESI;BANEM
Y8,GAPLI;TESDO;RIGDI;GITUS;GAKKA;BUMUX;ADCUB;SAM;GWC;WAFFU;BANVA;KUNAV
Y47,DRAKE;BENBO;SFD;MAY
Y53,SAPCO;PEDIG;NUGRA;NANTI;MOGTA;EKLAD;WAL
Y70,RAVLO;BODSO;SUPEL;ABTOS;OTBED;VEGUS;SIVBU;GIPLO;GOLES;BATLI;POL;CROFT;KOLID
Y96,NATEB;AGPED;OTBUN;IPSAD;HAVEN;TALLA;TLA;NORBO
Y110,ORIST;VEXEN;THRED
Y124,LISTO;MOGTA;AMPIT;DOLOP;BAGIT;LUTIP;LOMVO;DEXEN
Y125,FITBO;RETSI;BERUL;SEMMU;LIPGO
Y250,DTY;AKUPA;LESTA;MAMUL;UPTON;BATLI;RIMTO;OBOXA;GASKO
Y311,DVR;ODVIK
Y312,DVR;MIMFO
Y321,EXARO;PEPIS;NUBRI;CPT;EMKUK;ADMEX
Y322,BUGUP;PEPUL
Y803,LYD;SFD;MID;MAXIT
