waypointname,lat, long
DOKEN,554055N,0020656E
DOLAS,525843N,0010003E
DOLOP,531251N,0033751W
DOLUR,492904N,0050326W
DOMUT,501543N,0014009W
DONAX,532911N,0035740W
DONIB,554309N,0074144W
DONNA,514200N,0004437W
DOPEK,532304N,0005532W
DORKI,511633N,0001552W
DOSUN,600703N,0062339W
DRAKE,501234N,0000434W
DTY,521049N,0010650W
DUCNO,515824N,0021852W
DUD,553332N,0043606W
DUFFY,543053N,0055139W
DUFZO,513017N,0042036W
DVR,510945N,0012133E
EBOTO,522133N,0004140W
EDONU,561736N,0033341W
EDUXO,532424N,0011301W
EKLAD,531514N,0024929W
EKNIV,512426N,0003731E
ELBOB,544358N,0074438W
ELDAX,502918N,0003930E
ELDER,503948N,0012014W
ELKOG,602648N,0093000W
ELMUD,550656N,0014024W
ELNAB,532211N,0011251E
ELNOD,532826N,0013524W
ELRAG,511028N,0050621W
ELRIP,503745N,0025924W
ELSAN,564219N,0034358E
ELSOX,510000N,0140000W
ELVOS,524201N,0011825W
EMBOR,525748N,0011745W
EMKAD,511450N,0004234E
EMKUK,515837N,0012115W
EMLON,531220N,0023000E
EMPER,490000N,0090000W
ENCOD,531959N,0002424W
ENDEQ,532644N,0053000W
ENIPI,550111N,0031510W
ENITO,524805N,0022803E
ENUKU,561400N,0033819W
EPOXI,531959N,0032718W
EPUNA,503000N,0140000W
ERAKA,580000N,0100000W
ERDOG,592003N,0012504W
ERDUV,535235N,0041008W
ERFAX,502630N,0035903W
ERGAB,540922N,0022312W
ERGUM,500725N,0014450W
ERING,513526N,0013643E
ERKEX,505241N,0011937E
ERKIT,540149N,0004949W
ERLOT,551714N,0003506W
ERNAN,541644N,0072334W
ERNOK,514130N,0025644W
ERSON,562748N,0041824W
ESKDO,551756N,0031215W
ESTRY,533952N,0031542W
ETARI,553000N,0150000W
ETIGA,540239N,0044727W
ETILO,573000N,0100000W
ETSOM,575331N,0093000W
ETVAX,505807N,0003556E
