waypointname,lat, long
UTAVA,515847N,0000419W
UTOGU,550740N,0030443W
UTUXA,530030N,0021313W
UVAVU,542500N,0015346W
UVPOK,535940N,0041235W
VABIK,511447N,0020000E
VABKA,531808N,0024410W
VADNO,572711N,0033738W
VAKPO,541125N,0052239W
VALBO,550743N,0050000E
VAMEB,540010N,0024832W
VAPID,511514N,0010242W
VAPPI,553139N,0034543W
VASUX,503009N,0011517W
VATON,512604N,0002056W
VATRY,523316N,0053000W
VAXIT,563215N,0050000E
VEGAR,530234N,0015823W
VEGUS,532401N,0002111W
VELAG,522436N,0010050W
VENAS,541820N,0033908E
VENER,543000N,0150000W
VEXEN,500822N,0014934W
VEXUB,511409N,0003646W
VIDOK,522439N,0020231W
VOLFI,532035N,0032151W
VOUGA,510333N,0005750W
WAFFU,503457N,0002059E
WAL,532331N,0030804W
WEALD,511951N,0000205E
WELIN,521450N,0005108W
WESUL,514015N,0002909E
WIK,582732N,0030601W
WILLO,505906N,0001130W
WIZAD,510700N,0005711E
WOBUN,520110N,0004400W
WOD,512710N,0005244W
WOTAN,513726N,0022006W
XAMAB,501216N,0001553E
XAMAN,514705N,0021327E
XAPOS,531729N,0013751W
XAVAP,491402N,0060835W
XIDIL,502106N,0003829E
YOHDA,521203N,0012736W
ZEDDO,513142N,0043335W
ZOPHI,510127N,0000055W
